 Extracted on 13-Apr-2025 Mark Ohman lab SIO 
Station values of  bryozoan_larvae  Day + Night Line 80 and Line 90 All Cruises
Cruise,Station,Line,"Cruise mid-date","Station date","Local time (PST)","Day or Night","Abundance (No. per m2)","Estimated C Biomass (mgC m-2)"
"201307NH","   30.00","   90.00","2013-07-15","2013-07-21","01:54",Night, 1166.51,"    1.00"
"201307NH","   45.00","   90.00","2013-07-15","2013-07-21",14:44,Day, 3557.45,"    5.06"
"201307NH","   37.00","   90.00","2013-07-15","2013-07-21","07:50",Day, 7136.59,    8.87
"201311NH","  110.00","   90.00","2013-11-17","2013-11-12",21:45,Night,"  400.00","    0.44"
"201311NH","  120.00","   90.00","2013-11-17","2013-11-12",15:38,Day,  245.85,"    0.28"
"201311NH","   80.00","   90.00","2013-11-17","2013-11-13","21:02",Night," 1180.20",    1.39
"201311NH","   90.00","   90.00","2013-11-17","2013-11-13","21:02",Night,  536.17,"    0.61"
"201311NH","  100.00","   90.00","2013-11-17","2013-11-13","04:03",Night,  641.74,"    0.70"
"201311NH","   53.00","   90.00","2013-11-17","2013-11-14",15:58,Day, 1644.26,    1.88
"201311NH","   45.00","   90.00","2013-11-17","2013-11-14","22:03",Night," 3150.00",    3.43
"201311NH","   30.00","   90.00","2013-11-17","2013-11-15","10:54",Day,"10500.00",    9.49
"201311NH","   37.00","   90.00","2013-11-17","2013-11-15","03:38",Night, 6393.33,    5.56
"201311NH","   35.00","   90.00","2013-11-17","2013-11-15","06:29",Day," 7000.00","    6.01"
"201311NH","   28.00","   90.00","2013-11-17","2013-11-15",13:27,Day," 3000.00",    2.44
"201311NH","   55.00","   80.00","2013-11-17","2013-11-20","08:15",Day," 2234.04","    1.09"
"201311NH","   60.00","   80.00","2013-11-17","2013-11-20","08:15",Day," 4200.00","    4.02"
"201311NH","   70.00","   80.00","2013-11-17","2013-11-21","01:54",Night,  465.31,"    0.59"
"201311NH","   90.00","   80.00","2013-11-17","2013-11-21","15:02",Day," 1403.39",    1.82
"201311NH","   51.00","   80.00","2013-11-17","2013-11-23","20:12",Night," 4033.33","    3.05"
"201402SH","  110.00","   90.00","2014-02-02","2014-02-01","12:40",Day,   88.26,"    0.02"
"201402SH","  120.00","   90.00","2014-02-02","2014-02-01","05:55",Night,"    0.00","    0.00"
"201402SH","   53.00","   90.00","2014-02-02","2014-02-02",21:31,Night," 1920.00",    2.28
"201402SH","   80.00","   90.00","2014-02-02","2014-02-02","07:18",Day,  846.74,"    1.08"
"201402SH","  100.00","   90.00","2014-02-02","2014-02-02","01:38",Night,"  200.00","    0.21"
"201402SH","   90.00","   90.00","2014-02-02","2014-02-02","01:38",Night,  426.89,"    0.44"
"201402SH","   60.00","   90.00","2014-02-02","2014-02-02",21:31,Night," 1600.00",    1.98
"201402SH","   70.00","   90.00","2014-02-02","2014-02-02",14:55,Day,  625.81,"    0.62"
"201402SH","   37.00","   90.00","2014-02-02","2014-02-03",18:45,Night,"  207.00","    0.27"
"201402SH","   35.00","   90.00","2014-02-02","2014-02-03","22:00",Night,"  805.00","    0.97"
"201402SH","   28.00","   90.00","2014-02-02","2014-02-04","04:50",Night,"  400.00","    0.41"
"201402SH","   30.00","   90.00","2014-02-02","2014-02-04","02:35",Night," 2138.60",    1.66
"201404OS","  120.00","   90.00","2014-04-09","2014-04-04","20:48",Night,"    0.00","    0.00"
"201404OS","   60.00","   90.00","2014-04-09","2014-04-05","12:04",Day,  466.67,"    0.60"
"201404OS","  100.00","   90.00","2014-04-09","2014-04-05","10:03",Day,   71.49,"    0.11"
"201404OS","  110.00","   90.00","2014-04-09","2014-04-05","03:15",Night,"    0.00","    0.00"
"201404OS","   53.00","   90.00","2014-04-09","2014-04-06",17:48,Day," 2415.00",    2.66
"201404OS","   30.00","   90.00","2014-04-09","2014-04-07","10:41",Day,  962.79,"    1.09"
"201404OS","   35.00","   90.00","2014-04-09","2014-04-07","06:17",Day,  815.61,"    1.06"
"201404OS","   37.00","   90.00","2014-04-09","2014-04-07","03:20",Night,  884.21,    1.17
"201404OS","   28.00","   90.00","2014-04-09","2014-04-07",13:12,Day," 2500.00",    3.86
"201404OS","   55.00","   80.00","2014-04-09","2014-04-13","10:02",Day," 2053.90",    2.78
"201404OS","   51.00","   80.00","2014-04-09","2014-04-13","06:18",Day,"    0.00","    0.00"
"201404OS","   60.00","   80.00","2014-04-09","2014-04-13",14:57,Day," 1900.00",    2.56
"201404OS","   70.00","   80.00","2014-04-09","2014-04-13","21:06",Night," 1205.00",    1.52
"201404OS","   90.00","   80.00","2014-04-09","2014-04-14","09:56",Day," 2406.98",    2.91
"201404OS","   80.00","   80.00","2014-04-09","2014-04-14","03:27",Night, 1913.86,    2.55
"201404OS","  100.00","   80.00","2014-04-09","2014-04-14","16:02",Day,"  407.80","    0.52"
"201407NH","  110.00","   90.00","2014-07-14","2014-07-09",21:42,Night,"  190.91","    0.18"
"201407NH","  120.00","   90.00","2014-07-14","2014-07-09",15:29,Day,"    0.00","    0.00"
"201407NH","   80.00","   90.00","2014-07-14","2014-07-10","19:00",Day,  181.74,"    0.22"
"201407NH","   90.00","   90.00","2014-07-14","2014-07-10","10:18",Day,"    0.00","    0.00"
"201407NH","  100.00","   90.00","2014-07-14","2014-07-10","03:58",Night,"    0.00","    0.00"
"201407NH","   45.00","   90.00","2014-07-14","2014-07-11","21:04",Night, 6763.41,    6.21
"201407NH","   53.00","   90.00","2014-07-14","2014-07-11","21:04",Night, 1411.36,    1.39
"201407NH","   60.00","   90.00","2014-07-14","2014-07-11","07:12",Day,  777.67,"    0.91"
"201407NH","   70.00","   90.00","2014-07-14","2014-07-11","01:50",Night,"    0.00","    0.00"
"201407NH","   35.00","   90.00","2014-07-14","2014-07-12","06:11",Day,"  420.00","    0.52"
"201407NH","   28.00","   90.00","2014-07-14","2014-07-12",13:34,Day, 4727.27,    2.47
"201407NH","   30.00","   90.00","2014-07-14","2014-07-12","10:34",Day,"  368.02","    0.47"
"201407NH","   37.00","   90.00","2014-07-14","2014-07-12","02:55",Night, 2845.96,    2.54
"201407NH","   90.00","   80.00","2014-07-14","2014-07-16","19:09",Day,"  190.91","    0.32"
"201407NH","   80.00","   80.00","2014-07-14","2014-07-16",12:49,Day,"    0.00","    0.00"
"201407NH","  100.00","   80.00","2014-07-14","2014-07-17","01:05",Night,  185.78,"    0.24"
"201407NH","   60.00","   80.00","2014-07-14","2014-07-18",11:51,Day,  177.87,"    0.30"
"201407NH","   70.00","   80.00","2014-07-14","2014-07-18","05:33",Day,  396.14,"    0.51"
"201407NH","   55.00","   80.00","2014-07-14","2014-07-19",16:14,Day," 2090.00",    1.31
"201407NH","   51.00","   80.00","2014-07-14","2014-07-20","15:06",Day, 1317.65,    1.37
"201411NH","  110.00","   90.00","2014-11-16","2014-11-11",22:59,Night,"    0.00","    0.00"
"201411NH","  120.00","   90.00","2014-11-16","2014-11-11",16:57,Day,"    0.00","    0.00"
"201411NH","  100.00","   90.00","2014-11-16","2014-11-12","04:54",Night,   93.33,"    0.10"
"201411NH","   90.00","   90.00","2014-11-16","2014-11-12","10:39",Day,"    0.00","    0.00"
"201411NH","   80.00","   90.00","2014-11-16","2014-11-12",19:21,Night,"    0.00","    0.00"
"201411NH","   70.00","   90.00","2014-11-16","2014-11-13","01:12",Night,"    0.00","    0.00"
"201411NH","   60.00","   90.00","2014-11-16","2014-11-13","07:03",Day,  245.85,"    0.20"
"201411NH","   53.00","   90.00","2014-11-16","2014-11-13",12:17,Day,  424.85,"    0.43"
"201411NH","   45.00","   90.00","2014-11-16","2014-11-13","20:03",Night,  617.83,"    0.51"
"201411NH","   28.00","   90.00","2014-11-16","2014-11-14",11:37,Day, 6181.82,    3.63
"201411NH","   35.00","   90.00","2014-11-16","2014-11-14","04:36",Night," 1125.00","    0.92"
"201411NH","   30.00","   90.00","2014-11-16","2014-11-14","08:55",Day,  572.73,"    0.44"
"201411NH","   37.00","   90.00","2014-11-16","2014-11-14","01:21",Night,"  903.27","    0.89"
"201411NH","   55.00","   80.00","2014-11-16","2014-11-18",21:33,Night,"  400.00","    0.30"
"201411NH","   60.00","   80.00","2014-11-16","2014-11-19","01:30",Night, 2613.33,    2.74
"201411NH","   70.00","   80.00","2014-11-16","2014-11-19","07:27",Day, 2443.64,    2.64
"201411NH","   80.00","   80.00","2014-11-16","2014-11-19",14:35,Day, 1226.29,    1.23
"201411NH","   90.00","   80.00","2014-11-16","2014-11-19","20:26",Night, 3193.75,    3.36
"201411NH","  100.00","   80.00","2014-11-16","2014-11-20","02:35",Night,"  172.50","    0.17"
"201411NH","   51.00","   80.00","2014-11-16","2014-11-22","01:14",Night," 1500.00",    1.42
"201501NH","   90.00","   90.00","2015-01-23","2015-01-19",21:11,Night,"  168.00","    0.19"
"201501NH","  120.00","   90.00","2015-01-23","2015-01-19","02:35",Night,"    0.00","    0.00"
"201501NH","  110.00","   90.00","2015-01-23","2015-01-19","07:38",Day,"    0.00","    0.00"
"201501NH","  100.00","   90.00","2015-01-23","2015-01-19","15:06",Day,"    0.00","    0.00"
"201501NH","   53.00","   90.00","2015-01-23","2015-01-20",21:58,Night,  141.69,"    0.14"
"201501NH","   60.00","   90.00","2015-01-23","2015-01-20",16:41,Day,"  756.00","    0.73"
"201501NH","   70.00","   90.00","2015-01-23","2015-01-20","10:16",Day,"   67.20","    0.08"
"201501NH","   80.00","   90.00","2015-01-23","2015-01-20","03:38",Night,"    0.00","    0.00"
"201501NH","   30.00","   90.00","2015-01-23","2015-01-21","16:07",Day,"    0.00","    0.00"
"201501NH","   45.00","   90.00","2015-01-23","2015-01-21","03:26",Night," 1487.50",    1.19
"201501NH","   37.00","   90.00","2015-01-23","2015-01-21","08:44",Day,  572.73,"    0.51"
"201501NH","   35.00","   90.00","2015-01-23","2015-01-21",11:41,Day,  292.17,"    0.13"
"201501NH","   28.00","   90.00","2015-01-23","2015-01-21",19:12,Night," 4000.00",    1.52
"201501NH","   51.00","   80.00","2015-01-23","2015-01-26",23:53,Night," 2057.14","    1.09"
"201501NH","   60.00","   80.00","2015-01-23","2015-01-27","06:36",Day, 2144.68,    2.15
"201501NH","   70.00","   80.00","2015-01-23","2015-01-27",14:24,Day, 2879.56,    2.78
"201501NH","   55.00","   80.00","2015-01-23","2015-01-27","03:22",Night," 2930.23",    1.48
"201501NH","   80.00","   80.00","2015-01-23","2015-01-27","20:35",Night, 1278.26,"    1.40"
"201501NH","   90.00","   80.00","2015-01-23","2015-01-28","01:50",Night, 2148.84,    2.16
"201501NH","  100.00","   80.00","2015-01-23","2015-01-28","10:18",Day,"  859.09","    0.88"
"201504NH","  120.00","   90.00","2015-04-13","2015-04-07",19:21,Day,  171.43,"    0.18"
"201504NH","  100.00","   90.00","2015-04-13","2015-04-08","07:43",Day,"    0.00","    0.00"
"201504NH","  110.00","   90.00","2015-04-13","2015-04-08","01:59",Night,"  175.00","    0.16"
"201504NH","   90.00","   90.00","2015-04-13","2015-04-08",15:58,Day,  178.72,"    0.20"
"201504NH","   80.00","   90.00","2015-04-13","2015-04-08",22:34,Night,  339.59,"    0.29"
"201504NH","   70.00","   90.00","2015-04-13","2015-04-09","05:14",Day,"    0.00","    0.00"
"201504NH","   53.00","   90.00","2015-04-13","2015-04-09",17:41,Day," 2323.40",    2.34
"201504NH","   45.00","   90.00","2015-04-13","2015-04-09",23:21,Night," 2090.00",    2.33
"201504NH","   60.00","   90.00","2015-04-13","2015-04-09","12:02",Day,"  680.73","    0.77"
"201504NH","   37.00","   90.00","2015-04-13","2015-04-10","05:12",Day," 2520.00",    2.59
"201504NH","   30.00","   90.00","2015-04-13","2015-04-10","12:09",Day, 1145.45,"    0.33"
"201504NH","   28.00","   90.00","2015-04-13","2015-04-10",14:32,Day," 1000.00","    1.05"
"201504NH","   35.00","   90.00","2015-04-13","2015-04-10","07:00",Day,"  781.40","    0.76"
"201504NH","   80.00","   80.00","2015-04-13","2015-04-16","20:03",Night," 1000.00",    1.33
"201504NH","   55.00","   80.00","2015-04-13","2015-04-16","02:44",Night, 1787.23,"    2.00"
"201504NH","   70.00","   80.00","2015-04-13","2015-04-16",13:54,Day,"  672.00","    0.81"
"201504NH","   60.00","   80.00","2015-04-13","2015-04-16","07:09",Day,  848.98,"    0.94"
"201504NH","  100.00","   80.00","2015-04-13","2015-04-17","07:45",Day,  365.22,"    0.32"
"201504NH","   90.00","   80.00","2015-04-13","2015-04-17","02:21",Night,  539.26,"    0.57"
"201504NH","   51.00","   80.00","2015-04-13","2015-04-19","10:05",Day,"    0.00","    0.00"
"201507OC","   90.00","   90.00","2015-07-17","2015-07-13","20:15",Day,"    0.00","    0.00"
"201507OC","  120.00","   90.00","2015-07-17","2015-07-13","02:28",Night,"    0.00","    0.00"
"201507OC","  110.00","   90.00","2015-07-17","2015-07-13","07:09",Day,"    0.00","    0.00"
"201507OC","  100.00","   90.00","2015-07-17","2015-07-13",13:54,Day,"    0.00","    0.00"
"201507OC","   60.00","   90.00","2015-07-17","2015-07-14",14:46,Day, 1683.33,    1.57
"201507OC","   70.00","   90.00","2015-07-17","2015-07-14","07:21",Day,  819.51,"    1.01"
"201507OC","   80.00","   90.00","2015-07-17","2015-07-14","02:12",Night,"  480.00","    0.49"
"201507OC","   30.00","   90.00","2015-07-17","2015-07-15",13:59,Day,"20190.00",   17.65
"201507OC","   28.00","   90.00","2015-07-17","2015-07-15",16:38,Day,"10400.00","    5.03"
"201507OC","   37.00","   90.00","2015-07-17","2015-07-15","07:03",Day, 1758.14,    2.26
"201507OC","   45.00","   90.00","2015-07-17","2015-07-15","01:47",Night," 9450.00","   10.54"
"201507OC","   53.00","   90.00","2015-07-17","2015-07-15","01:47",Night,"61470.77",   61.89
"201507OC","   35.00","   90.00","2015-07-17","2015-07-15","10:03",Day, 1292.31,"    0.82"
"201507OC","   51.00","   80.00","2015-07-17","2015-07-19","10:41",Day,32716.67,"   23.04"
"201507OC","   80.00","   80.00","2015-07-17","2015-07-21",11:55,Day,  237.71,"    0.39"
"201507OC","   60.00","   80.00","2015-07-17","2015-07-21",23:17,Night," 2496.00",    2.44
"201507OC","   90.00","   80.00","2015-07-17","2015-07-21","06:18",Day,"  210.00","    0.29"
"201507OC","  100.00","   80.00","2015-07-17","2015-07-21","00:26",Night,  763.64,"    0.87"
"201507OC","   70.00","   80.00","2015-07-17","2015-07-21",17:33,Day,"    0.00","    0.00"
"201507OC","   55.00","   80.00","2015-07-17","2015-07-22","03:22",Night, 6767.62,    5.16
"201511OC","   90.00","   90.00","2015-11-03","2015-10-31",21:45,Night,"    0.00","    0.00"
"201511OC","  100.00","   90.00","2015-11-03","2015-10-31","13:30",Day,"    0.00","    0.00"
"201511OC","   53.00","   90.00","2015-11-03","2015-11-01",21:38,Night,  884.21,"    0.67"
"201511OC","   60.00","   90.00","2015-11-03","2015-11-01",17:12,Day, 1194.29,    1.26
"201511OC","   70.00","   90.00","2015-11-03","2015-11-01","09:45",Day,"  430.77","    0.52"
"201511OC","   80.00","   90.00","2015-11-03","2015-11-01","03:31",Night," 1050.00",    1.12
"201511OC","   35.00","   90.00","2015-11-03","2015-11-02","17:30",Day,  188.18,"    0.12"
"201511OC","   37.00","   90.00","2015-11-03","2015-11-02","14:30",Day,"  681.08","    0.52"
"201511OC","   45.00","   90.00","2015-11-03","2015-11-02","07:38",Day, 9431.79,    6.46
"201511OC","   30.00","   90.00","2015-11-03","2015-11-02",21:51,Night,"  525.00","    0.43"
"201511OC","   28.00","   90.00","2015-11-03","2015-11-03","00:27",Night," 1069.09","    0.48"
"201511OC","   51.00","   80.00","2015-11-03","2015-11-05","07:05",Day,"  400.00","    0.24"
"201511OC","   55.00","   80.00","2015-11-03","2015-11-05","10:47",Day," 1470.00","    0.85"
"201511OC","   60.00","   80.00","2015-11-03","2015-11-05","15:04",Day, 6852.63,    4.83
"201511OC","   70.00","   80.00","2015-11-03","2015-11-05","20:55",Night, 7434.89,    8.15
"201511OC","   80.00","   80.00","2015-11-03","2015-11-06","02:53",Night," 1710.00",    1.85
"201511OC","   90.00","   80.00","2015-11-03","2015-11-06","08:08",Day, 2369.23,    2.71
"201511OC","  100.00","   80.00","2015-11-03","2015-11-06",15:24,Day,  214.76,"    0.25"
"201601RL","  100.00","   90.00","2016-01-15","2016-01-11","06:20",Day,"  189.09","    0.24"
"201601RL","   80.00","   90.00","2016-01-15","2016-01-11","20:57",Night,"  781.40","    0.89"
"201601RL","   90.00","   90.00","2016-01-15","2016-01-11",14:17,Day,   95.45,"    0.13"
"201601RL","  110.00","   90.00","2016-01-15","2016-01-11","01:16",Night,"  203.90","    0.28"
"201601RL","  120.00","   90.00","2016-01-15","2016-01-11","01:16",Night,"    0.00","    0.00"
"201601RL","   53.00","   90.00","2016-01-15","2016-01-12",15:33,Day, 2734.88,"    2.05"
"201601RL","   60.00","   90.00","2016-01-15","2016-01-12","10:34",Day," 1890.91",    1.45
"201601RL","   70.00","   90.00","2016-01-15","2016-01-12","03:26",Night," 3200.00",    3.76
"201601RL","   51.00","   80.00","2016-01-15","2016-01-18","22:05",Night," 3400.00",    2.22
"201601RL","   60.00","   80.00","2016-01-15","2016-01-19","07:23",Day," 2600.00","    3.01"
"201601RL","   80.00","   80.00","2016-01-15","2016-01-19",18:42,Night,  756.36,"    0.79"
"201601RL","   55.00","   80.00","2016-01-15","2016-01-19","01:25",Night," 4200.00",    4.71
"201601RL","   70.00","   80.00","2016-01-15","2016-01-19",12:17,Day," 1900.00","    2.08"
"201601RL","   90.00","   80.00","2016-01-15","2016-01-20","00:29",Night,"  940.91","    1.08"
"201601RL","  100.00","   80.00","2016-01-15","2016-01-20","06:02",Night,  371.56,"    0.34"
"201604SH","  100.00","   90.00","2016-04-10","2016-04-05","02:37",Night," 2200.00",    2.66
"201604SH","   90.00","   90.00","2016-04-10","2016-04-05","07:57",Day," 3073.17",    3.51
"201604SH","   80.00","   90.00","2016-04-10","2016-04-05",15:56,Day," 2625.00",    2.89
"201604SH","   70.00","   90.00","2016-04-10","2016-04-05",21:56,Night, 3178.38,    1.95
"201604SH","   35.00","   90.00","2016-04-10","2016-04-06",23:12,Night," 9600.00","    4.07"
"201604SH","   37.00","   90.00","2016-04-10","2016-04-06","20:15",Night," 2560.98",    1.35
"201604SH","   45.00","   90.00","2016-04-10","2016-04-06",14:42,Day,"11440.00",    9.19
"201604SH","   53.00","   90.00","2016-04-10","2016-04-06","09:13",Day, 3315.79,    3.16
"201604SH","   60.00","   90.00","2016-04-10","2016-04-06","03:49",Night, 4976.19,    3.66
"201604SH","   30.00","   90.00","2016-04-10","2016-04-07","03:33",Night," 4540.54",    1.91
"201604SH","   28.00","   90.00","2016-04-10","2016-04-07","06:58",Day,"16250.00","    9.60"
"201604SH","   51.00","   80.00","2016-04-10","2016-04-12","20:01",Night," 1086.17","    1.05"
"201604SH","  100.00","   80.00","2016-04-10","2016-04-14",16:11,Day, 2628.99,"    3.20"
"201604SH","   55.00","   80.00","2016-04-10","2016-04-16","00:27",Night," 3780.00",    4.81
"201607OS","  110.00","   90.00","2016-07-15","2016-07-14","06:02",Day,  743.33,"    0.88"
"201607OS","   90.00","   90.00","2016-07-15","2016-07-14","20:48",Night,"    0.00","    0.00"
"201607OS","  100.00","   90.00","2016-07-15","2016-07-14","14:06",Day,"  799.50","    0.88"
"201607OS","   70.00","   90.00","2016-07-15","2016-07-15","09:36",Day,  191.97,"    0.19"
"201607OS","   60.00","   90.00","2016-07-15","2016-07-15",16:16,Day,"  360.75","    0.12"
"201607OS","   80.00","   90.00","2016-07-15","2016-07-15","03:06",Night," 1073.64","    1.02"
"201607OS","   53.00","   90.00","2016-07-15","2016-07-15","03:09",Night," 5552.06",    7.29
"201607OS","   45.00","   90.00","2016-07-15","2016-07-16","03:47",Night,"18390.53",   17.82
"201607OS","   37.00","   90.00","2016-07-15","2016-07-16","09:33",Day, 4851.99,    5.81
"201607OS","   30.00","   90.00","2016-07-15","2016-07-16",16:36,Day,21133.19,   15.82
"201607OS","   35.00","   90.00","2016-07-15","2016-07-16","12:20",Day, 2785.35,    2.84
"201611SR","  120.00","   90.00","2016-11-14","2016-11-09",19:32,Night,"    0.00","    0.00"
"201611SR","  100.00","   90.00","2016-11-14","2016-11-10","07:09",Day,"    0.00","    0.00"
"201611SR","   90.00","   90.00","2016-11-14","2016-11-10",16:21,Day, 8962.39,"   10.29"
"201611SR","  110.00","   90.00","2016-11-14","2016-11-10","01:50",Night,"    0.00","    0.00"
"201611SR","   80.00","   90.00","2016-11-14","2016-11-10",22:34,Night," 5605.44",    5.91
"201611SR","   70.00","   90.00","2016-11-14","2016-11-11","04:48",Night," 3908.44",    4.91
"201611SR","   60.00","   90.00","2016-11-14","2016-11-11",11:32,Day, 5738.57,    6.74
"201611SR","   53.00","   90.00","2016-11-14","2016-11-11",16:38,Day,  473.77,"    0.53"
"201611SR","   45.00","   90.00","2016-11-14","2016-11-11",22:12,Night," 2807.49",    2.46
"201611SR","   35.00","   90.00","2016-11-14","2016-11-12","06:27",Day, 4533.77,"    4.70"
"201611SR","   30.00","   90.00","2016-11-14","2016-11-12","10:50",Day, 5968.41,"    7.10"
"201611SR","   28.00","   90.00","2016-11-14","2016-11-12",13:41,Day," 7185.40",    7.67
"201611SR","   37.00","   90.00","2016-11-14","2016-11-12","03:33",Night," 3032.49",    4.26
"201611SR","   51.00","   80.00","2016-11-14","2016-11-18","13:50",Day," 1468.03","    1.03"
"201611SR","   55.00","   80.00","2016-11-14","2016-11-18","03:22",Night, 4442.31,    4.17
"201611SR","   60.00","   80.00","2016-11-14","2016-11-18","06:26",Day," 4808.11",    3.96
"201611SR","   70.00","   80.00","2016-11-14","2016-11-18","13:50",Day,"15034.52","   18.20"
"201611SR","   80.00","   80.00","2016-11-14","2016-11-18","13:50",Day,  419.43,"    0.65"
"201611SR","  100.00","   80.00","2016-11-14","2016-11-19","06:31",Day,  391.19,"    0.41"
"201611SR","   90.00","   80.00","2016-11-14","2016-11-19","01:39",Night,"  398.20","    0.47"
"201701RL","  120.00","   90.00","2017-01-13","2017-01-08",22:48,Night,"    0.00","    0.00"
"201701RL","  110.00","   90.00","2017-01-13","2017-01-09","04:29",Night,"  401.55","    0.39"
"201701RL","   90.00","   90.00","2017-01-13","2017-01-09",16:11,Day,  458.85,"    0.55"
"201701RL","   80.00","   90.00","2017-01-13","2017-01-09","22:00",Night, 3691.95,"    4.08"
"201701RL","  100.00","   90.00","2017-01-13","2017-01-09","10:23",Day,  387.86,"    0.33"
"201701RL","   70.00","   90.00","2017-01-13","2017-01-10","03:36",Night," 3055.83",    3.23
"201701RL","   60.00","   90.00","2017-01-13","2017-01-10","08:42",Day, 4588.73,    4.58
"201701RL","   53.00","   90.00","2017-01-13","2017-01-10",14:33,Day, 5229.89,"    6.08"
"201701RL","   45.00","   90.00","2017-01-13","2017-01-10",19:56,Night," 6188.30","    6.00"
"201701RL","   37.00","   90.00","2017-01-13","2017-01-11","01:11",Night,17112.98,   16.36
"201701RL","   35.00","   90.00","2017-01-13","2017-01-11","04:14",Night, 4955.16,    4.36
"201701RL","   28.00","   90.00","2017-01-13","2017-01-11",12:49,Day,"  808.82","    0.50"
"201701RL","   30.00","   90.00","2017-01-13","2017-01-11","07:29",Day, 3495.45,    2.24
"201701RL","   51.00","   80.00","2017-01-13","2017-01-16","20:24",Night, 1634.32,"    0.81"
"201701RL","   55.00","   80.00","2017-01-13","2017-01-16","23:30",Night, 2895.41,"    1.70"
"201701RL","   90.00","   80.00","2017-01-13","2017-01-17","20:55",Night, 1531.14,    1.81
"201701RL","   80.00","   80.00","2017-01-13","2017-01-17",15:13,Day, 1211.51,    1.22
"201701RL","   70.00","   80.00","2017-01-13","2017-01-17","08:10",Day, 5675.68,    6.34
"201701RL","   60.00","   80.00","2017-01-13","2017-01-17","03:27",Night, 7239.57,    7.14
"201701RL","  100.00","   80.00","2017-01-13","2017-01-18","02:35",Night, 6788.27,    6.87
"201704SH","  120.00","   90.00","2017-04-06","2017-04-02","03:33",Night, 1996.24,    2.47
"201704SH","   90.00","   90.00","2017-04-06","2017-04-02","21:20",Night," 4371.02","    5.04"
"201704SH","  100.00","   90.00","2017-04-06","2017-04-02",15:38,Day,"    0.00","    0.00"
"201704SH","  110.00","   90.00","2017-04-06","2017-04-02","10:00",Day,"    0.00","    0.00"
"201704SH","   53.00","   90.00","2017-04-06","2017-04-03",19:57,Night, 2355.33,"    2.06"
"201704SH","   60.00","   90.00","2017-04-06","2017-04-03",15:15,Day, 2961.11,    3.75
"201704SH","   80.00","   90.00","2017-04-06","2017-04-03","03:11",Night,  986.33,"    0.95"
"201704SH","   70.00","   90.00","2017-04-06","2017-04-03","09:13",Day," 3477.01",    3.18
"201704SH","   30.00","   90.00","2017-04-06","2017-04-04",13:45,Day,"  745.60","    0.69"
"201704SH","   35.00","   90.00","2017-04-06","2017-04-04","09:31",Day,  919.98,"    1.07"
"201704SH","   37.00","   90.00","2017-04-06","2017-04-04","06:38",Day, 1164.38,    1.14
"201704SH","   45.00","   90.00","2017-04-06","2017-04-04","01:14",Night,  381.24,"    0.19"
"201704SH","   55.00","   80.00","2017-04-06","2017-04-10",12:53,Day, 2772.88,    3.97
"201704SH","   51.00","   80.00","2017-04-06","2017-04-10","09:36",Day,  417.54,"    0.58"
"201704SH","   60.00","   80.00","2017-04-06","2017-04-10","17:50",Day, 2221.26,    2.83
"201704SH","   70.00","   80.00","2017-04-06","2017-04-10",23:26,Night,"  609.47","    0.67"
"201704SH","   80.00","   80.00","2017-04-06","2017-04-10","17:50",Day, 3556.56,    4.21
"201704SH","  100.00","   80.00","2017-04-06","2017-04-11","17:10",Day,  186.39,"    0.21"
"201704SH","   90.00","   80.00","2017-04-06","2017-04-11","11:10",Day,  611.87,"    0.62"
"201708SR","  110.00","   90.00","2017-08-09","2017-08-04",16:43,Day," 2103.57",    2.37
"201708SR","  120.00","   90.00","2017-08-09","2017-08-04","10:39",Day," 1695.02",    1.89
"201708SR","  100.00","   90.00","2017-08-09","2017-08-04",22:38,Night,  952.38,"    1.09"
"201708SR","   80.00","   90.00","2017-08-09","2017-08-05","10:57",Day, 6716.26,    7.91
"201708SR","   70.00","   90.00","2017-08-09","2017-08-05",16:56,Day, 2241.79,    2.21
"201708SR","   60.00","   90.00","2017-08-09","2017-08-05","23:06",Night," 3616.60",    3.78
"201708SR","   90.00","   90.00","2017-08-09","2017-08-05","04:52",Day,"    0.00","    0.00"
"201708SR","   35.00","   90.00","2017-08-09","2017-08-06",17:57,Day," 1801.99","    0.82"
"201708SR","   30.00","   90.00","2017-08-09","2017-08-06",22:21,Night, 3748.88,    3.63
"201708SR","   28.00","   90.00","2017-08-09","2017-08-07","01:02",Night," 2720.08","    1.90"
"201708SR","   60.00","   80.00","2017-08-09","2017-08-11",16:27,Day,"11750.03",    7.52
"201708SR","   70.00","   80.00","2017-08-09","2017-08-11",22:41,Night, 1723.96,    1.79
"201708SR","   90.00","   80.00","2017-08-09","2017-08-12",11:15,Day,  211.53,"    0.23"
"201708SR","   80.00","   80.00","2017-08-09","2017-08-12","05:08",Day," 5305.24",    4.72
"201708SR","  100.00","   80.00","2017-08-09","2017-08-12",17:23,Day, 1953.49,    2.14
"201708SR","   55.00","   80.00","2017-08-09","2017-08-14","20:55",Night,"10089.53",    7.83
"201708SR","   51.00","   80.00","2017-08-09","2017-08-15","00:40",Night,  957.71,"    0.95"
"201711SR","  120.00","   90.00","2017-11-16","2017-11-12",16:34,Day,  438.64,"    0.50"
"201711SR","  110.00","   90.00","2017-11-16","2017-11-12",22:27,Night,  419.79,"    0.45"
"201711SR","  100.00","   90.00","2017-11-16","2017-11-13","04:34",Night,"  858.02","    0.84"
