"","Station_ID","Depth","Date.cc","Date_Dec","TA_dtd","DIC_dtd","T_degC_dtd","pCO2in_dtd","RFin_dtd","pHin_dtd","CO3in_dtd","OmegaCAin_dtd","OmegaARin_dtd","Salnty_dtd","Lat_Dec","Lon_Dec","depth_bin","Depth_Trans","Date_Dec_cen"
"479","081.8 046.9",170,2015-07-01,2015.49589041096,2261.06151844938,2205.82647050185,9.66605977814136,954.533137546863,17.7955298701263,7.69365224961883,62.441718809449,1.44864074762494,0.919845444248869,34.0299425317765,34.2749,-120.02508,"120 - 189 m",2.23299611039215,32.2849315068493
"480","081.8 046.9",170,2016-01-20,2016.05191256831,2267.36699654274,2209.4018637092,10.2659802150737,914.619597654558,17.6699620986138,7.70410626765753,65.6232747759733,1.52827690877355,0.975272633194312,34.0297632604754,34.27767,-120.0325,"120 - 189 m",2.23299611039215,32.8409536641964
"481","081.8 046.9",170,2016-04-20,2016.30054644809,2270.73264773277,2226.63339836672,9.93862777358036,1064.11878699376,18.1013389637292,7.6460180005976,58.9047661529071,1.36726882260305,0.873162558828168,34.0949477806298,34.2741,-120.02787,"120 - 189 m",2.23299611039215,33.0895875439778
"482","081.8 046.9",170,2016-07-20,2016.54918032787,2264.46151844938,2216.62647050185,9.00605977814136,990.45537402118,18.046609121647,7.67820115118091,59.1266183445804,1.37127401260952,0.869693129333556,34.0336425317765,34.27603,-120.0289,"120 - 189 m",2.23299611039215,33.3382214237593
"483","081.8 046.9",170,2016-11-20,2016.88524590164,2254.75379847163,2206.1354179137,8.9834067946576,938.061477333512,18.1041948127812,7.69178311533273,57.5273117882856,1.33418879576355,0.844438906952745,33.9298746544001,34.2758,-120.02343,"120 - 189 m",2.23299611039215,33.6742869975296
"484","081.8 046.9",170,2017-08-20,2017.63287671233,2265.07239977869,2217.72225793908,9.21952092022356,1007.5979231568,17.9911319925364,7.67338954287477,59.4484094136944,1.37930067964889,0.875070839540772,34.0803401584258,34.27268,-120.0175,"120 - 189 m",2.23299611039215,34.4219178082192
"485","081.8 046.9",170,2018-02-20,2018.13698630137,NA,2211.65563031666,10.0548847765762,NA,NA,NA,NA,NA,NA,33.9984451136305,34.27682,-120.02517,"120 - 189 m",2.23299611039215,34.9260273972602
"486","081.8 046.9",170,2018-04-20,2018.29863013699,2278.33264773277,2222.63339836672,9.47762777358036,954.804031662475,17.8833699063307,7.68997619111845,63.5600191188551,1.474671018249,0.940850139447521,34.1421477806298,34.26632,-120.02817,"120 - 189 m",2.23299611039215,35.0876712328766
"487","081.8 046.9",170.2,2017-04-20,2017.29863013699,2271.23264773277,2229.93339836672,9.85962777358036,1086.28347866287,18.1525359902261,7.63756084127105,57.7911336534747,1.34123588760156,0.856543365280328,34.1107477806298,34.27908,-120.02407,"120 - 189 m",2.23350376034113,34.0876712328766
"488","081.8 046.9",171,2009-11-01,2009.83287671233,2257.25379847163,2222.8354179137,8.7994067946576,1047.6591536341,18.5034455232798,7.64516327944011,51.3024229582656,1.18833475741572,0.751655017738462,34.0464746544001,34.275,-120.031667,"120 - 189 m",2.23552844690755,26.621917808219
"489","081.8 046.9",171,2010-01-01,2010,2250.66699654274,2194.1018637092,10.3119802150737,915.088346876577,17.6915873196217,7.70111966215388,64.7172688177526,1.50781610752566,0.962179988489765,33.9368632604754,34.271667,-120.023333,"120 - 189 m",2.23552844690755,26.7890410958903
"490","081.8 046.9",171,2011-01-01,2011,2263.96699654274,2224.3018637092,9.64198021507373,1033.68476226725,18.220918889507,7.65172304591119,57.3710896083812,1.3356670048648,0.851993107003181,34.0848632604754,34.281667,-120.038333,"120 - 189 m",2.23552844690755,27.7890410958903
"491","081.8 046.9",171,2012-07-01,2012.49726775956,2269.36151844938,2230.52647050185,8.98805977814136,1073.58448416139,18.2247530556315,7.64661736488718,55.4895325576106,1.28612316815521,0.815655888987616,34.1016425317765,34.278333,-120.025,"120 - 189 m",2.23552844690755,29.2863088554532
"492","081.8 046.9",171,2017-01-20,2017.05205479452,2266.46699654274,2227.1018637092,9.56798021507373,1033.61208880745,18.2442077168444,7.65210397854071,57.2967250306201,1.33409179191578,0.850855389298951,34.0605632604754,34.27367,-120.0275,"120 - 189 m",2.23552844690755,33.8410958904108
"493","081.8 046.9",171,2017-11-20,2017.88493150685,2279.85379847163,2280.3354179137,8.7234067946576,1399.49171504994,18.83843289392,7.52678955169337,38.7559498478965,0.896488313424735,0.566187995998567,34.1548746544001,34.27493,-120.02407,"120 - 189 m",2.23552844690755,34.6739726027397
"494","081.8 046.9",172,2009-03-01,2009.16164383562,2271.08425686854,2238.2621113995,9.45666414409628,1121.86661240091,18.3470221730226,7.62070117683552,54.2272616892201,1.25712615748859,0.802296255968942,34.1128816330631,34.276666,-120.025,"120 - 189 m",2.2380461031288,25.9506849315067
"495","081.8 046.9",173,2011-04-01,2011.24657534247,2279.73264773277,2251.83339836672,9.13062777358036,1188.9030707051,18.3406050921158,7.60050657306501,52.5786407576736,1.2191232143892,0.778230775393772,34.1641477806298,34.276667,-120.03,"120 - 189 m",2.2405492482826,28.0356164383561
"496","081.8 046.9",229,2011-08-01,2011.58082191781,2279.77239977869,2265.42225793908,8.23252092022356,1293.16900054868,18.3824730736657,7.57077965498966,46.9172709961429,1.07587304313413,0.681675138597238,34.2080401584258,34.268333,-120.021667,"190 - 270 m",2.36172783601759,28.3698630136985
"497","081.8 046.9",229,2012-02-01,2012.08469945355,2273.64348760798,2245.95563031666,9.28788477657615,1141.61772820293,18.4319155248381,7.61035005439099,52.9068645026966,1.21997461305504,0.77907350892967,34.1284451136305,34.28,-120.023333,"190 - 270 m",2.36172783601759,28.8737405494421
"498","081.8 046.9",229,2013-04-01,2013.24657534247,2286.63264773277,2269.63339836672,8.84362777358036,1292.04061416534,18.3594288271648,7.56448542867857,48.7727388471762,1.11982520384161,0.715377644199771,34.1867477806298,34.2775,-120.05032,"190 - 270 m",2.36172783601759,30.0356164383561
"499","081.8 046.9",229,2014-07-01,2014.49589041096,2266.16151844938,2224.02647050185,9.06105977814136,1044.32447193899,18.164427023878,7.6546876681559,56.7103238972406,1.30073833911687,0.825593362798881,34.0962425317765,34.27143,-120.02587,"190 - 270 m",2.36172783601759,31.2849315068493
"500","081.8 046.9",229,2016-01-20,2016.05191256831,2271.46699654274,2244.0018637092,9.68298021507373,1149.5096007591,18.4440466535722,7.60654703470706,52.5852437872581,1.2112946772243,0.773601445589052,34.1349632604754,34.27767,-120.0325,"190 - 270 m",2.36172783601759,32.8409536641964
"501","081.8 046.9",230,2012-07-01,2012.49726775956,2276.76151844938,2249.32647050185,8.74805977814136,1176.89467771268,18.3820300831591,7.60764672842737,51.1082141984924,1.17121235771931,0.74294725970258,34.1826425317765,34.278333,-120.025,"190 - 270 m",2.36361197989214,29.2863088554532
"502","081.8 046.9",230,2013-07-01,2013.49589041096,2272.46151844938,2237.22647050185,8.56105977814136,1089.23551456107,18.3224734303874,7.63773016583471,53.9289759599414,1.23613525416455,0.783935935171786,34.1296425317765,34.27192,-120.0276,"190 - 270 m",2.36361197989214,30.2849315068493
"503","081.8 046.9",230,2013-11-01,2013.83287671233,2274.65379847163,2262.2354179137,8.3154067946576,1242.05441767178,18.8759042147439,7.57260734599009,42.7918696251041,0.977346014658246,0.617648340852668,34.1721746544001,34.27582,-120.02328,"190 - 270 m",2.36361197989214,30.621917808219
