Date,Station_ID,Year_UTC,Month_UTC,Day_UTC,Latitude,Longitude,TA,DIC,Depth,CTDTEMP_ITS90,Salinity_PSS78
1984-07-08,093.3 100.0,1984,7,8,30.513,-122.2576,NA,1995.3,10,NA,NA
1984-07-09,090.0 090.0,1984,7,9,31.4179,-121.99,NA,1986.2,11,NA,32.968500000000006
1984-07-10,090.0 070.0,1984,7,10,32.0846,-120.6387,NA,2002.65,10,NA,33.653
1984-07-15,096.7 090.0,1984,7,15,30.2575,-121.18,NA,1996.05,10,NA,NA
1984-07-15,096.7 100.0,1984,7,15,29.9241,-121.8439,NA,1985.3000000000002,10,NA,NA
1984-07-15,097.0 100.0,1984,7,15,29.8722,-121.8076,2222.7,1987.1,10,17.72,33.273
1984-07-15,100.0 090.0,1984,7,15,29.6859,-120.7852,NA,1986.15,10,NA,NA
1984-07-15,100.0 100.0,1984,7,15,29.3526,-121.4453,NA,1987.1,10,NA,NA
1984-07-19,103.0 090.0,1984,7,19,29.1663,-120.4286,NA,1990.6,10,NA,NA
1984-07-20,103.0 100.0,1984,7,20,28.8329,-121.0853,NA,1990.55,10,NA,NA
1984-07-20,106.7 100.0,1984,7,20,28.1921,-120.6443,NA,1987.35,10,NA,NA
1984-07-20,107.0 100.0,1984,7,20,28.1401,-120.6086,2244.7,1987.3,10,20.37,33.66
1984-10-21,090.0 070.0,1984,10,21,32.0846,-120.6387,NA,1986.9499999999998,10,NA,33.429
1984-10-22,090.0 090.0,1984,10,22,31.4179,-121.99,NA,1982.8000000000002,10,NA,33.441500000000005
1984-10-22,090.0 100.0,1984,10,22,31.0846,-122.662,NA,1990.75,12,NA,NA
1984-10-22,090.0 120.0,1984,10,22,30.4179,-123.9989,2228.65,1980.7,11.5,17.735,33.36
1984-10-22,093.3 100.0,1984,10,22,30.513,-122.2576,NA,1983.1999999999998,11,NA,NA
1984-10-23,093.3 090.0,1984,10,23,30.8464,-121.5896,NA,1982.5,12,NA,NA
1984-10-28,096.7 090.0,1984,10,28,30.2575,-121.18,NA,1982.4,11,NA,NA
1984-10-28,096.7 100.0,1984,10,28,29.9241,-121.8439,NA,1979.3,12,NA,NA
1984-10-28,097.0 090.0,1984,10,28,30.2055,-121.144,2225.7,1982.4,11,18.61,33.323
1984-10-29,100.0 090.0,1984,10,29,29.6859,-120.7852,NA,1979.3000000000002,11,NA,NA
1984-10-29,100.0 100.0,1984,10,29,29.3526,-121.4453,NA,1980.8000000000002,10,NA,NA
1984-11-01,103.0 090.0,1984,11,1,29.1663,-120.4286,NA,1990.65,11,NA,NA
1984-11-02,103.0 100.0,1984,11,2,28.8329,-121.0853,NA,1986.95,11,NA,NA
1984-11-02,106.7 100.0,1984,11,2,28.1921,-120.6443,NA,1986.85,10,NA,NA
1984-11-02,107.0 100.0,1984,11,2,28.1401,-120.6086,2251.6,1986.9,10,19.66,33.772
1985-02-24,090.0 090.0,1985,2,24,31.4179,-121.99,2235.05,1985.65,10,NA,33.393
1985-02-25,090.0 070.0,1985,2,25,32.0846,-120.6387,2223.4,1990.9,10,NA,33.361999999999995
1985-02-25,090.0 090.0,1985,2,25,31.4179,-121.99,2231.1,1985.7,10,15.6,33.393
1985-02-26,090.0 070.0,1985,2,26,32.0846,-120.6387,2223.4,1990.9,10,14.67,33.362
1985-05-06,090.0 070.0,1985,5,6,32.0846,-120.6387,2217.9,1997.2,11,NA,33.278
1985-05-06,090.0 090.0,1985,5,6,31.4179,-121.99,NA,1997.35,11,NA,NA
1985-05-07,090.0 070.0,1985,5,7,32.0846,-120.6387,2217.9,1997.2,11,13.18,33.278
1985-08-13,090.0 090.0,1985,8,13,31.4179,-121.99,2230.9,1989.4,10,NA,33.426
1985-08-14,090.0 070.0,1985,8,14,32.0846,-120.6387,2239.8999999999996,1993.3,10,NA,33.599000000000004
1985-08-14,090.0 090.0,1985,8,14,31.4179,-121.99,2230.9,1989.4,10,18.2,33.426
1985-08-15,090.0 070.0,1985,8,15,32.0846,-120.6387,2239.9,1993.3,10,16.78,33.599
1985-11-05,090.0 090.0,1985,11,5,31.4179,-121.99,2232.1,1985.35,11,NA,33.421499999999995
1985-11-06,090.0 070.0,1985,11,6,32.0846,-120.6387,2235.65,1994.75,11,NA,33.5425
